date,stock_code,stock_name,margin_balance,margin_purchase_amount,margin_repayment_amount,short_selling_balance,short_selling_volume,short_selling_repayment_volume
2023-09-22,510050,50ETF,5682232788,345924417,126147746,31081200,21114800,11402100
2023-09-22,510100,SZ50ETF,10477254,1745212,1658620,0,0,0
2023-09-22,510150,消费ETF,23196980,1579540,871744,0,0,0
2023-09-22,510180,180ETF,97982738,875421,2363573,409300,173200,130900
2023-09-22,510210,综指ETF,65309813,10316670,27073351,0,0,0
2023-09-22,510230,金融ETF,16097548,1110955,996124,0,0,0
2023-09-22,510300,300ETF,7459966858,537678733,780072236,59592747,21381800,10332202
2023-09-22,510310,HS300ETF,228660652,18211607,14046023,40744,33400,4200
2023-09-22,510330,华夏300,717829092,8827788,12304334,3114900,896700,464300
2023-09-22,510350,工银300,146971,0,7318,0,0,0
2023-09-22,510360,广发300,4234334,897567,853673,0,0,0
2023-09-22,510500,500ETF,1738841939,162600719,111989094,999578517,12848200,14483109
2023-09-22,510510,广发500,8779392,1108315,729387,29218800,1044000,0
2023-09-22,510580,ZZ500ETF,3342073,0,59743,0,0,0
2023-09-22,510710,上50ETF,1705171,35438,101261,0,0,0
2023-09-22,510800,上证50,7342625,331119,137461,0,0,0
2023-09-22,510810,上海国企,1192291,52520,306296,0,0,0
2023-09-22,510880,红利ETF,48858667,4337195,4075968,1294900,335800,387100
2023-09-22,510900,H股ETF,8144688083,34690640,67915868,0,0,0
2023-09-22,511010,国债ETF,167633419,65928,267522,0,0,0
2023-09-22,511030,公司债,12334007,1031,1031,0,0,0
2023-09-22,511260,十年国债,148342266,1325770,840142,0,0,0
2023-09-22,511360,短融ETF,2982584671,369352863,385678464,0,0,0
2023-09-22,511380,转债ETF,246440898,17208041,24872361,0,0,0
2023-09-22,512000,券商ETF,1654366810,118344251,182227098,155674984,18851800,17021300
2023-09-22,512010,医药ETF,913876006,154155422,164922693,52658095,10119500,17176300
2023-09-22,512070,证券保险,131462836,13412209,9137919,6865055,1788400,2318800
2023-09-22,512100,1000ETF,452054023,17724878,30648516,1237460493,34368600,16054700
2023-09-22,512170,医疗ETF,967538658,162317494,160767065,216429929,22741900,13533400
2023-09-22,512200,地产ETF,132326980,14776380,11810661,24895812,4043400,4250300
2023-09-22,512220,TMTETF,3103375,204267,132617,0,0,0
2023-09-22,512290,生物医药,181861313,9957284,6370221,12741213,2626900,1306600
2023-09-22,512400,有色ETF,77877078,15619740,6054108,9510040,796500,1764900
2023-09-22,512480,半导体,1228076378,295777487,325788849,243652084,108217102,103617600
2023-09-22,512500,中证500,57051052,1412003,2071673,50393056,1236700,1367700
2023-09-22,512510,ETF500,5500878,505955,11279,42000,40000,0
2023-09-22,512560,中证军工,30580998,995235,571816,0,0,0
2023-09-22,512580,环保ETF,17080758,792169,641230,820000,0,0
2023-09-22,512660,军工ETF,332521072,14741181,21889130,22251681,6058600,5587900
2023-09-22,512670,国防ETF,144163457,7497027,7546319,4154678,1037400,2490100
2023-09-22,512680,军工基金,13619562,1662824,1331312,750000,750000,750000
2023-09-22,512690,酒ETF,362376604,91588166,88435288,53894584,5232800,4090900
2023-09-22,512700,银行基金,56673559,5294707,6142389,2430900,1240400,1240400
2023-09-22,512710,军工龙头,188792593,5951218,7561148,9125904,3749900,3750000
2023-09-22,512720,计算机,23751774,1831092,1320090,14520000,20000,0
2023-09-22,512760,芯片ETF,450441432,28940363,36363387,58833412,1510100,11985800
2023-09-22,512800,银行ETF,951909469,31567344,24861685,22153200,3431100,3127200
2023-09-22,512810,国防军工,3502239,1179894,408578,2000000,0,0
2023-09-22,512880,证券ETF,2313121742,290964836,335297098,158061474,24095500,19559300
2023-09-22,512890,红利低波,34368443,8312187,6081734,0,0,0
2023-09-22,512900,证券基金,45488601,2048663,6271055,3501300,500000,500000
2023-09-22,512950,央企改革,4880415,40786,313428,0,0,0
2023-09-22,512980,传媒ETF,44232402,4509774,8260061,9503373,3750000,3749900
2023-09-22,513010,港股科技,151386401,20818420,26932179,0,0,0
2023-09-22,513050,中概互联,3765688372,104423779,123213211,0,0,0
2023-09-22,513060,恒生医疗,722973706,87465704,83942821,7000000,0,0
2023-09-22,513090,香港证券,328915497,64789560,92528709,0,0,0
2023-09-22,513100,纳指ETF,658641087,156910726,150964537,0,0,0
2023-09-22,513110,纳指100,19881435,6900531,4913144,0,0,0
2023-09-22,513120,HK创新药,261513408,56188716,60796605,0,0,0
2023-09-22,513130,恒生科技,898180315,152937817,219623452,9619400,3701000,1028400
2023-09-22,513180,恒指科技,914741019,154788158,203354380,5187900,1633300,329800
2023-09-22,513200,港股医药,16232879,2980702,2222507,0,0,0
2023-09-22,513300,纳斯达克,199605167,14327552,15122422,0,0,0
2023-09-22,513330,恒生互联,1862000991,140211134,241245440,16800000,0,0
2023-09-22,513380,科技恒生,7641407,6282674,9200915,0,0,0
2023-09-22,513500,标普500,428220871,8190159,8813794,0,0,0
2023-09-22,513550,港股通50,18450607,1473757,390100,0,0,0
2023-09-22,513580,HS科技,45085088,7668689,11104651,0,0,0
2023-09-22,513600,恒指ETF,74625803,3464121,6117203,0,0,0
2023-09-22,513660,恒生通,291326091,5127411,6005506,0,0,0
2023-09-22,513690,恒生股息,25459788,654794,789267,0,0,0
2023-09-22,513700,香港医药,12739583,599078,920946,0,0,0
2023-09-22,513770,港股互联,21952318,2934928,4908937,0,0,0
2023-09-22,513980,科技港股,56076436,1053600,4376158,0,0,0
