"Stkcd","ShortName_EN","Accper","F100401A"
"000001","PAYH","2024-06-30","0.408764"
"000001","PAYH","2024-09-30","0.483103"
"000001","PAYH","2024-12-31","0.458834"
"000001","PAYH","2025-03-31","0.431745"
"000001","PAYH","2025-06-30","0.459220"
"000001","PAYH","2025-09-30","0.424891"
"000001","PAYH","2025-12-31","0.401721"
"000001","PAYH","2026-03-31","0.395194"
"000002","WKA","2024-06-30","0.214721"
"000002","WKA","2024-09-30","0.309774"
"000002","WKA","2024-12-31","0.255617"
"000002","WKA","2025-03-31","0.254903"
"000002","WKA","2025-06-30","0.238495"
"000002","WKA","2025-09-30","0.273071"
"000002","WKA","2025-12-31","0.235215"
"000002","WKA","2026-03-31","0.208731"
"000004","GHWA","2024-06-30","8.842061"
"000004","GHWA","2024-09-30","13.770767"
"000004","GHWA","2024-12-31","25.127740"
"000004","GHWA","2025-03-31","20.820191"
"000004","*ST GH","2025-06-30","38.154561"
"000004","*ST GH","2025-09-30","33.271556"
"000004","*ST GH","2025-12-31","12.267555"
"000004","*ST GH","2026-03-31","5.256510"
"000006","SZYA","2024-06-30","0.745389"
"000006","SZYA","2024-09-30","1.108181"
"000006","SZYA","2024-12-31","1.736500"
"000006","SZYA","2025-03-31","1.736752"
"000006","SZYA","2025-06-30","1.549857"
"000006","SZYA","2025-09-30","2.248058"
"000006","SZYA","2025-12-31","2.189282"
"000006","SZYA","2026-03-31","1.884952"
"000007","*ST QX","2024-06-30","11.728496"
"000007","QXH","2024-09-30","16.793706"
"000007","QXH","2024-12-31","12.714690"
"000007","QXH","2025-03-31","10.923304"
"000007","QXH","2025-06-30","13.562966"
"000007","QXH","2025-09-30","12.815186"
"000007","QXH","2025-12-31","20.291172"
"000007","QXH","2026-03-31","23.354779"
"000008","SZGT","2024-06-30","1.508956"
"000008","SZGT","2024-09-30","1.892995"
"000008","SZGT","2024-12-31","2.534466"
"000008","SZGT","2025-03-31","2.266402"
"000008","SZGT","2025-06-30","2.518712"
"000008","SZGT","2025-09-30","2.563962"
"000008","SZGT","2025-12-31","3.399501"
"000008","SZGT","2026-03-31","3.952509"
"000009","ZGBA","2024-06-30","1.044628"
"000009","ZGBA","2024-09-30","1.151567"
"000009","ZGBA","2024-12-31","1.086757"
"000009","ZGBA","2025-03-31","0.943295"
"000009","ZGBA","2025-06-30","1.023177"
"000009","ZGBA","2025-09-30","1.405498"
"000009","ZGBA","2025-12-31","1.111062"
"000009","ZGBA","2026-03-31","0.978896"
"000010","MLST","2024-06-30","11.254490"
"000010","MLST","2024-09-30","12.339212"
"000010","MLST","2024-12-31","9.402362"
"000010","MLST","2025-03-31","9.686316"
"000010","MLST","2025-06-30","10.191578"
"000010","MLST","2025-09-30","13.811206"
"000010","MLST","2025-12-31","12.766027"
"000010","MLST","2026-03-31","12.746491"
"000011","SWYA","2024-06-30","1.020764"
"000011","SWYA","2024-09-30","1.297450"
"000011","SWYA","2024-12-31","1.612434"
"000011","SWYA","2025-03-31","1.533588"
"000011","SWYA","2025-06-30","1.554298"
"000011","SWYA","2025-09-30","1.702223"
"000011","SWYA","2025-12-31","1.660286"
"000011","SWYA","2026-03-31","1.599520"
"000012","NBA","2024-06-30","1.067809"
"000012","NBA","2024-09-30","1.220400"
"000012","NBA","2024-12-31","1.157871"
"000012","NBA","2025-03-31","1.080593"
"000012","NBA","2025-06-30","1.037631"
"000012","NBA","2025-09-30","1.037375"
"000012","NBA","2025-12-31","1.003577"
"000012","NBA","2026-03-31","1.007480"
"000014","SHGF","2024-06-30","1.352547"
"000014","SHGF","2024-09-30","1.589792"
"000014","SHGF","2024-12-31","1.587740"
"000014","SHGF","2025-03-31","1.553312"
"000014","SHGF","2025-06-30","1.690854"
"000014","SHGF","2025-09-30","2.899407"
"000014","SHGF","2025-12-31","2.133669"
"000014","SHGF","2026-03-31","2.262390"
"000016","SKJA","2024-06-30","1.102843"
"000016","SKJA","2024-09-30","1.878101"
"000016","SKJA","2024-12-31","5.948067"
"000016","SKJA","2025-03-31","4.963763"
"000016","SKJA","2025-06-30","7.681395"
"000016","SKJA","2025-09-30","13.506200"
"000016","SKJA","2025-12-31",""
"000016","SKJA","2026-03-31",""
"000017","SZHA","2024-06-30","12.630631"
"000017","SZHA","2024-09-30","14.012196"
"000017","SZHA","2024-12-31","10.858048"
"000017","SZHA","2025-03-31","11.022262"
"000017","SZHA","2025-06-30","12.166302"
"000017","SZHA","2025-09-30","11.843764"
"000017","SZHA","2025-12-31","13.770404"
"000017","SZHA","2026-03-31","11.728231"
"000019","SLKG","2024-06-30","1.390144"
"000019","SLKG","2024-09-30","1.606306"
"000019","SLKG","2024-12-31","1.538626"
"000019","SLKG","2025-03-31","1.476133"
"000019","SLKG","2025-06-30","1.558765"
"000019","SLKG","2025-09-30","1.508011"
"000019","SLKG","2025-12-31","1.605075"
"000019","SLKG","2026-03-31","1.776041"
"000020","SHFA","2024-06-30","7.436286"
"000020","SHFA","2024-09-30","11.678168"
"000020","SHFA","2024-12-31","8.712459"
"000020","SHFA","2025-03-31","8.337571"
"000020","SHFA","2025-06-30","9.680344"
"000020","SHFA","2025-09-30","9.849064"
"000020","SHFA","2025-12-31","8.944312"
"000020","SHFA","2026-03-31","10.152438"
"000021","SKJ","2024-06-30","1.818836"
"000021","SKJ","2024-09-30","1.905581"
"000021","SKJ","2024-12-31","2.146398"
"000021","SKJ","2025-03-31","1.931769"
"000021","SKJ","2025-06-30","1.912683"
"000021","SKJ","2025-09-30","2.763890"
"000021","SKJ","2025-12-31","2.442482"
"000021","SKJ","2026-03-31","2.446168"
"000023","*ST ST","2024-06-30",""
"000025","TLA","2024-06-30","3.223549"
"000025","TLA","2024-09-30","3.973460"
"000025","TLA","2024-12-31","3.752430"
"000025","TLA","2025-03-31","4.030784"
"000025","TLA","2025-06-30","3.829154"
"000025","TLA","2025-09-30","3.831705"
"000025","TLA","2025-12-31","3.770454"
"000025","TLA","2026-03-31","3.402789"
"000026","FYD","2024-06-30","1.078525"
"000026","FYD","2024-09-30","1.255857"
"000026","FYD","2024-12-31","1.240556"
"000026","FYD","2025-03-31","1.288617"
"000026","FYD","2025-06-30","1.925596"
"000026","FYD","2025-09-30","1.960943"
"000026","FYD","2025-12-31","1.992008"
"000026","FYD","2026-03-31","1.662250"
"000027","SZNY","2024-06-30","0.608352"
"000027","SZNY","2024-09-30","0.576795"
"000027","SZNY","2024-12-31","0.529644"
"000027","SZNY","2025-03-31","0.466689"
"000027","SZNY","2025-06-30","0.468922"
"000027","SZNY","2025-09-30","0.484311"
"000027","SZNY","2025-12-31","0.474621"
"000027","SZNY","2026-03-31","0.483481"
"000028","GYYZ","2024-06-30","0.840233"
"000028","GYYZ","2024-09-30","0.812961"
"000028","GYYZ","2024-12-31","0.784351"
"000028","GYYZ","2025-03-31","0.674938"
"000028","GYYZ","2025-06-30","0.652936"
"000028","GYYZ","2025-09-30","0.645797"
"000028","GYYZ","2025-12-31","0.632119"
"000028","GYYZ","2026-03-31","0.663935"
"000029","SSFA","2024-06-30","2.845785"
"000029","SSFA","2024-09-30","4.427888"
"000029","SSFA","2024-12-31","4.487147"
"000029","SSFA","2025-03-31","4.329484"
"000029","SSFA","2025-06-30","5.433015"
"000029","SSFA","2025-09-30","9.579687"
"000029","SSFA","2025-12-31","6.420777"
"000029","SSFA","2026-03-31","5.572270"
"000030","FAGF","2024-06-30","0.976398"
"000030","FAGF","2024-09-30","1.030730"
"000030","FAGF","2024-12-31","0.962752"
"000030","FAGF","2025-03-31","1.066731"
"000030","FAGF","2025-06-30","1.070503"
"000030","FAGF","2025-09-30","0.987900"
"000030","FAGF","2025-12-31","0.972928"
"000030","FAGF","2026-03-31","0.929612"
"000031","DYC","2024-06-30","0.222899"
"000031","DYC","2024-09-30","0.319459"
"000031","DYC","2024-12-31","0.313574"
"000031","DYC","2025-03-31","0.268633"
"000031","DYC","2025-06-30","0.270314"
"000031","DYC","2025-09-30","0.343615"
"000031","DYC","2025-12-31","0.338703"
"000031","DYC","2026-03-31","0.353184"
