"Stkcd","ShortName_EN","Accper","Typrep","F050501B"
"000001","PAYH","2024-06-30","A","0.053705"
"000001","PAYH","2024-06-30","B","0.051962"
"000001","PAYH","2024-09-30","A","0.081002"
"000001","PAYH","2024-09-30","B","0.079099"
"000001","PAYH","2024-12-31","A","0.089944"
"000001","PAYH","2024-12-31","B","0.087386"
"000001","PAYH","2025-03-31","A","0.027852"
"000001","PAYH","2025-03-31","B","0.027639"
"000001","PAYH","2025-06-30","A","0.048759"
"000001","PAYH","2025-06-30","B","0.048158"
"000001","PAYH","2025-09-30","A","0.074024"
"000001","PAYH","2025-09-30","B","0.073145"
"000001","PAYH","2025-12-31","A","0.077348"
"000001","PAYH","2025-12-31","B","0.075903"
"000001","PAYH","2026-03-31","A","0.026693"
"000001","PAYH","2026-03-31","B","0.026670"
"000002","WKA","2024-06-30","A","-0.022129"
"000002","WKA","2024-06-30","B","0.035064"
"000002","WKA","2024-09-30","A","-0.043803"
"000002","WKA","2024-12-31","A","-0.143731"
"000002","WKA","2024-12-31","B","-0.117103"
"000002","WKA","2025-03-31","A","-0.019442"
"000002","WKA","2025-06-30","A","-0.033830"
"000002","WKA","2025-06-30","B","0.084107"
"000002","WKA","2025-09-30","A","-0.093800"
"000002","WKA","2025-12-31","A","-0.389257"
"000002","WKA","2025-12-31","B","-0.330910"
"000002","WKA","2026-03-31","A","-0.026710"
"000004","GHWA","2024-06-30","A","-0.113869"
"000004","GHWA","2024-06-30","B","-0.004262"
"000004","GHWA","2024-09-30","A","-0.238534"
"000004","GHWA","2024-12-31","A","-1.881930"
"000004","GHWA","2024-12-31","B","-0.018301"
"000004","GHWA","2025-03-31","A","-0.198430"
"000004","*ST GH","2025-06-30","A","-1.435993"
"000004","*ST GH","2025-06-30","B","-0.014151"
"000004","*ST GH","2025-09-30","A","-0.775496"
"000004","*ST GH","2025-12-31","A","0.123418"
"000004","*ST GH","2025-12-31","B","-0.008692"
"000004","*ST GH","2026-03-31","A","-0.034443"
"000006","SZYA","2024-06-30","A","-0.059057"
"000006","SZYA","2024-06-30","B","-0.008496"
"000006","SZYA","2024-09-30","A","-0.092866"
"000006","SZYA","2024-12-31","A","-0.307772"
"000006","SZYA","2024-12-31","B","-0.006853"
"000006","SZYA","2025-03-31","A","-0.004261"
"000006","SZYA","2025-06-30","A","-0.012904"
"000006","SZYA","2025-06-30","B","-0.009968"
"000006","SZYA","2025-09-30","A","0.001388"
"000006","SZYA","2025-12-31","A","-0.005735"
"000006","SZYA","2025-12-31","B","-0.019916"
"000006","SZYA","2026-03-31","A","0.002230"
"000007","*ST QX","2024-06-30","A","0.014225"
"000007","*ST QX","2024-06-30","B","0.122851"
"000007","QXH","2024-09-30","A","0.011739"
"000007","QXH","2024-12-31","A","0.294730"
"000007","QXH","2024-12-31","B","0.730447"
"000007","QXH","2025-03-31","A","0.008286"
"000007","QXH","2025-06-30","A","0.014584"
"000007","QXH","2025-06-30","B","0.072142"
"000007","QXH","2025-09-30","A","0.012503"
"000007","QXH","2025-12-31","A","0.003216"
"000007","QXH","2025-12-31","B","-0.241625"
"000007","QXH","2026-03-31","A","-0.016329"
"000008","SZGT","2024-06-30","A","-0.053973"
"000008","SZGT","2024-06-30","B","0.028478"
"000008","SZGT","2024-09-30","A","-0.058143"
"000008","SZGT","2024-12-31","A","-0.183719"
"000008","SZGT","2024-12-31","B","-0.068535"
"000008","SZGT","2025-03-31","A","-0.013485"
"000008","SZGT","2025-06-30","A","-0.031631"
"000008","SZGT","2025-06-30","B","0.087870"
"000008","SZGT","2025-09-30","A","-0.029379"
"000008","SZGT","2025-12-31","A","-0.366637"
"000008","SZGT","2025-12-31","B","-0.097469"
"000008","SZGT","2026-03-31","A","-0.013853"
"000009","ZGBA","2024-06-30","A","0.027669"
"000009","ZGBA","2024-06-30","B","0.045233"
"000009","ZGBA","2024-09-30","A","0.042589"
"000009","ZGBA","2024-12-31","A","0.047538"
"000009","ZGBA","2024-12-31","B","0.052436"
"000009","ZGBA","2025-03-31","A","0.018897"
"000009","ZGBA","2025-06-30","A","0.037641"
"000009","ZGBA","2025-06-30","B","0.031533"
"000009","ZGBA","2025-09-30","A","0.057682"
"000009","ZGBA","2025-12-31","A","0.059054"
"000009","ZGBA","2025-12-31","B","0.022984"
"000009","ZGBA","2026-03-31","A","0.011300"
"000010","MLST","2024-06-30","A","-0.800448"
"000010","MLST","2024-06-30","B","-0.042191"
"000010","MLST","2024-09-30","A","-0.440031"
"000010","MLST","2024-12-31","A","0.130184"
"000010","MLST","2024-12-31","B","-0.043724"
"000010","MLST","2025-03-31","A","-0.012190"
"000010","MLST","2025-06-30","A","-0.171728"
"000010","MLST","2025-06-30","B","-0.027071"
"000010","MLST","2025-09-30","A","-0.082205"
"000010","MLST","2025-12-31","A","-0.071954"
"000010","MLST","2025-12-31","B","-0.034044"
"000010","MLST","2026-03-31","A","0.091598"
"000011","SWYA","2024-06-30","A","0.000292"
"000011","SWYA","2024-06-30","B","-0.013742"
"000011","SWYA","2024-09-30","A","-0.001267"
"000011","SWYA","2024-12-31","A","-0.398443"
"000011","SWYA","2024-12-31","B","0.043025"
"000011","SWYA","2025-03-31","A","0.000979"
"000011","SWYA","2025-06-30","A","0.003110"
"000011","SWYA","2025-06-30","B","-0.015632"
"000011","SWYA","2025-09-30","A","0.008003"
"000011","SWYA","2025-12-31","A","0.001451"
"000011","SWYA","2025-12-31","B","0.530220"
"000011","SWYA","2026-03-31","A","-0.009400"
"000012","NBA","2024-06-30","A","0.049767"
"000012","NBA","2024-06-30","B","0.084684"
"000012","NBA","2024-09-30","A","0.053143"
"000012","NBA","2024-12-31","A","0.017682"
"000012","NBA","2024-12-31","B","0.098122"
"000012","NBA","2025-03-31","A","0.000656"
"000012","NBA","2025-06-30","A","0.004717"
"000012","NBA","2025-06-30","B","0.023868"
"000012","NBA","2025-09-30","A","0.010154"
"000012","NBA","2025-12-31","A","0.007771"
"000012","NBA","2025-12-31","B","0.059388"
"000012","NBA","2026-03-31","A","-0.007701"
"000014","SHGF","2024-06-30","A","0.031644"
"000014","SHGF","2024-06-30","B","0.007370"
"000014","SHGF","2024-09-30","A","0.027439"
"000014","SHGF","2024-12-31","A","0.010134"
"000014","SHGF","2024-12-31","B","-0.004906"
"000014","SHGF","2025-03-31","A","-0.005771"
"000014","SHGF","2025-06-30","A","-0.011558"
"000014","SHGF","2025-06-30","B","-0.010387"
"000014","SHGF","2025-09-30","A","-0.019770"
"000014","SHGF","2025-12-31","A","-0.098052"
"000014","SHGF","2025-12-31","B","-0.030717"
"000014","SHGF","2026-03-31","A","-0.004321"
"000016","SKJA","2024-06-30","A","-0.275347"
"000016","SKJA","2024-06-30","B","-0.119270"
"000016","SKJA","2024-09-30","A","-0.439574"
"000016","SKJA","2024-12-31","A","-1.738141"
"000016","SKJA","2024-12-31","B","-0.632120"
"000016","SKJA","2025-03-31","A","0.025048"
"000016","SKJA","2025-06-30","A","-0.307329"
"000016","SKJA","2025-06-30","B","0.067074"
"000016","SKJA","2025-09-30","A","-1.252710"
"000016","SKJA","2025-12-31","A",""
"000016","SKJA","2025-12-31","B","-4.476481"
"000016","SKJA","2026-03-31","A",""
"000017","SZHA","2024-06-30","A","0.016966"
"000017","SZHA","2024-06-30","B","0.011461"
"000017","SZHA","2024-09-30","A","0.021292"
"000017","SZHA","2024-12-31","A","0.043022"
"000017","SZHA","2024-12-31","B","0.026658"
