stock_code,sector_code,sector_l1,sector_l2
300972,450302,45,4503
002402,270504,27,2705
001221,360311,36,3603
603049,280204,28,2802
688615,710401,71,7104
301611,270103,27,2701
002430,220309,22,2203
301301,370101,37,3701
300140,760103,76,7601
002773,370304,37,3703
300718,640108,64,6401
688692,710401,71,7104
688235,370102,37,3701
301536,270104,27,2701
001389,270202,27,2702
603341,270504,27,2705
600720,620601,62,6206
688709,270104,27,2701
603979,240302,24,2403
300390,630702,63,6307
688702,270104,27,2701
301498,110404,11,1104
688347,270106,27,2701
600673,510101,51,5101
300383,730104,73,7301
300432,630702,63,6307
002131,640108,64,6401
002056,630502,63,6305
601212,240302,24,2403
688563,650201,65,6502
688629,650501,65,6505
688582,270105,27,2701
688361,270108,27,2701
688469,270106,27,2701
001286,410101,41,4101
601061,450201,45,4502
301358,630702,63,6307
688525,270104,27,2701
688475,710102,71,7101
688172,270102,27,2701
688387,730204,73,7302
000537,410107,41,4101
688114,370502,37,3705
600363,270504,27,2705
603077,220802,22,2208
002841,270503,27,2705
000958,490308,49,4903
000032,620404,62,6204
002432,370504,37,3705
600873,220315,22,2203
002756,240603,24,2406
600517,490304,49,4903
601567,630802,63,6308
601799,280202,28,2802
002007,370303,37,3703
300676,370602,37,3706
000623,370201,37,3702
300285,270601,27,2706
688166,370101,37,3701
301308,270104,27,2701
688322,270303,27,2703
688375,650501,65,6505
688297,650201,65,6502
688349,630601,63,6306
688120,270108,27,2701
688213,270104,27,2701
688052,270105,27,2701
688295,220404,22,2204
688281,650201,65,6502
301200,640209,64,6402
002261,710401,71,7104
688220,270105,27,2701
688234,270103,27,2701
688248,630803,63,6308
300627,730206,73,7302
688192,370102,37,3701
600927,490303,49,4903
000088,421102,42,4211
688772,630701,63,6307
001213,420903,42,4209
605589,220504,22,2205
688728,270104,27,2701
688778,630702,63,6307
300207,630701,63,6307
300487,220504,22,2205
300567,640107,64,6401
300570,730204,73,7302
300058,720501,72,7205
300454,710402,71,7104
002850,630701,63,6307
300474,650501,65,6505
300054,270601,27,2706
300458,270104,27,2701
300024,640701,64,6407
300601,370303,37,3703
300223,270104,27,2701
003035,410110,41,4101
300604,270108,27,2701
300144,461002,46,4610
300496,710301,71,7103
300012,460802,46,4608
300142,370303,37,3703
300529,370503,37,3705
300136,270504,27,2705
300100,280202,28,2802
300450,630703,63,6307
300017,710301,71,7103
300115,270504,27,2705
300146,340407,34,3404
300001,630801,63,6308
300073,630702,63,6307
300002,720401,72,7204
300003,370503,37,3705
300070,760102,76,7601
300751,630505,63,6305
300757,640704,64,6407
300763,630503,63,6305
300699,650201,65,6502
300724,630505,63,6305
300735,270504,27,2705
003022,630504,63,6305
300677,370503,37,3705
300679,270504,27,2705
300395,650201,65,6502
300346,270601,27,2706
300339,710301,71,7103
003031,730206,73,7302
002966,480401,48,4804
300957,770202,77,7702
300037,630702,63,6307
002958,480501,48,4805
002984,280204,28,2802
300888,770101,77,7701
300857,270504,27,2705
300919,630702,63,6307
603707,370102,37,3701
603737,610305,61,6103
603806,630504,63,6305
603786,280206,28,2802
603766,280402,28,2804
603699,640108,64,6401
603650,220604,22,2206
603658,370504,37,3705
603659,630702,63,6307
603688,220901,22,2209
603939,370403,37,3704
603927,710401,71,7104
603833,360308,36,3603
603816,360307,36,3603
603899,360501,36,3605
603885,421001,42,4210
603233,370403,37,3704
603290,270102,27,2701
603298,640601,64,6406
603160,270105,27,2701
603156,340701,34,3407
603129,280402,28,2804
603179,280206,28,2802
603606,630805,63,6308
603565,421101,42,4211
603568,760103,76,7601
603605,770202,77,7702
603596,280203,28,2802
603589,340501,34,3405
603345,340406,34,3404
603338,640601,64,6406
603486,330302,33,3303
603444,720401,72,7204
600004,421002,42,4210
688520,370304,37,3703
688561,710402,71,7104
688608,270104,27,2701
688599,630502,63,6305
688568,710301,71,7103
688336,370304,37,3703
688318,710401,71,7104
688425,640601,64,6406
688385,270104,27,2701
688363,770301,77,7703
688617,370503,37,3705
688676,630801,63,6308
688819,630705,63,6307
688777,640702,64,6407
688301,370502,37,3705
605358,270103,27,2701
688002,650501,65,6505
688027,730206,73,7302
688019,270601,27,2706
688018,270104,27,2701
688017,640701,64,6407
688180,370304,37,3703
688188,710103,71,7101
688278,370304,37,3703
688037,270108,27,2701
688122,650201,65,6502
688100,730206,73,7302
688099,270104,27,2701
600487,730205,73,7302
600486,220803,22,2208
